Sample	Population	Superpopulation	Relationship
HG00180	FIN	EUR	nan
HG00181	FIN	EUR	nan
HG00182	FIN	EUR	nan
HG00183	FIN	EUR	nan
HG00185	FIN	EUR	nan
HG00186	FIN	EUR	nan
HG00187	FIN	EUR	nan
HG00188	FIN	EUR	nan
HG00189	FIN	EUR	nan
HG00190	FIN	EUR	nan
HG00231	GBR	EUR	nan
HG00232	GBR	EUR	nan
HG00233	GBR	EUR	nan
HG00234	GBR	EUR	nan
HG00235	GBR	EUR	nan
HG00236	GBR	EUR	nan
HG00237	GBR	EUR	nan
HG00238	GBR	EUR	nan
HG00239	GBR	EUR	nan
HG00240	GBR	EUR	nan
HG00242	GBR	EUR	nan
HG00243	GBR	EUR	nan
HG00244	GBR	EUR	nan
HG00245	GBR	EUR	nan
HG00246	GBR	EUR	nan
HG00247	GBR	EUR	mother
HG00248	GBR	EUR	child
HG00249	GBR	EUR	nan
HG00250	GBR	EUR	nan
HG00251	GBR	EUR	nan
HG00252	GBR	EUR	nan
HG00253	GBR	EUR	nan
HG00254	GBR	EUR	nan
HG00255	GBR	EUR	nan
HG00256	GBR	EUR	nan
HG00257	GBR	EUR	nan
HG00258	GBR	EUR	nan
HG00259	GBR	EUR	nan
HG00260	GBR	EUR	nan
HG00261	GBR	EUR	nan
HG00262	GBR	EUR	nan
HG00263	GBR	EUR	nan
HG00264	GBR	EUR	nan
HG00265	GBR	EUR	nan
HG00266	FIN	EUR	nan
HG00267	FIN	EUR	nan
HG00268	FIN	EUR	nan
HG00269	FIN	EUR	nan
HG00270	FIN	EUR	nan
HG00271	FIN	EUR	nan
HG00272	FIN	EUR	nan
HG00273	FIN	EUR	nan
HG00274	FIN	EUR	nan
HG00275	FIN	EUR	nan
HG00276	FIN	EUR	nan
HG00277	FIN	EUR	nan
HG00278	FIN	EUR	nan
HG00280	FIN	EUR	nan
HG00281	FIN	EUR	nan
HG00282	FIN	EUR	nan
HG00284	FIN	EUR	nan
HG00285	FIN	EUR	nan
HG00288	FIN	EUR	unrel
HG00290	FIN	EUR	unrel
HG00302	FIN	EUR	unrel
HG00303	FIN	EUR	unrel
HG00304	FIN	EUR	unrel
HG00306	FIN	EUR	nan
HG00308	FIN	EUR	nan
HG00309	FIN	EUR	nan
HG00310	FIN	EUR	nan
HG00311	FIN	EUR	nan
HG00312	FIN	EUR	nan
HG00313	FIN	EUR	nan
HG00315	FIN	EUR	nan
HG00318	FIN	EUR	nan
HG00319	FIN	EUR	nan
HG00320	FIN	EUR	nan
HG00321	FIN	EUR	nan
HG00323	FIN	EUR	nan
HG00324	FIN	EUR	nan
HG00325	FIN	EUR	nan
HG00326	FIN	EUR	nan
HG00327	FIN	EUR	nan
HG00328	FIN	EUR	nan
HG00329	FIN	EUR	nan
HG00330	FIN	EUR	nan
HG00331	FIN	EUR	nan
HG00332	FIN	EUR	nan
HG00334	FIN	EUR	nan
HG00335	FIN	EUR	nan
HG00336	FIN	EUR	nan
HG00337	FIN	EUR	nan
HG00338	FIN	EUR	nan
HG00339	FIN	EUR	nan
HG00341	FIN	EUR	nan
HG00342	FIN	EUR	nan
HG00343	FIN	EUR	nan
HG00344	FIN	EUR	nan
HG00345	FIN	EUR	nan
HG00346	FIN	EUR	nan
HG00349	FIN	EUR	nan
HG00350	FIN	EUR	nan
HG00351	FIN	EUR	nan
HG00353	FIN	EUR	nan
HG00355	FIN	EUR	nan
HG00356	FIN	EUR	nan
HG00357	FIN	EUR	nan
HG00358	FIN	EUR	nan
HG00359	FIN	EUR	nan
HG00360	FIN	EUR	nan
HG00361	FIN	EUR	nan
HG00362	FIN	EUR	nan
HG00364	FIN	EUR	nan
HG00365	FIN	EUR	nan
HG00366	FIN	EUR	nan
HG00367	FIN	EUR	nan
HG00368	FIN	EUR	nan
HG00369	FIN	EUR	nan
HG00371	FIN	EUR	nan
HG00372	FIN	EUR	nan
HG00373	FIN	EUR	nan
HG00375	FIN	EUR	nan
HG00376	FIN	EUR	nan
HG00377	FIN	EUR	nan
HG00378	FIN	EUR	nan
HG00379	FIN	EUR	nan
HG00380	FIN	EUR	nan
HG00381	FIN	EUR	nan
HG00382	FIN	EUR	nan
HG00383	FIN	EUR	nan
HG00384	FIN	EUR	nan
HG00403	CHS	EAS	father
HG00404	CHS	EAS	mother
HG00405	CHS	EAS	child
HG00406	CHS	EAS	father
HG00407	CHS	EAS	mother
HG00408	CHS	EAS	child
HG00409	CHS	EAS	father
HG00410	CHS	EAS	mother
HG00411	CHS	EAS	child
HG00418	CHS	EAS	father
HG00419	CHS	EAS	mother
HG00420	CHS	EAS	child
HG00421	CHS	EAS	father
HG00422	CHS	EAS	mother
HG00423	CHS	EAS	child
HG00427	CHS	EAS	father
HG00428	CHS	EAS	mother
HG00429	CHS	EAS	child
HG00436	CHS	EAS	father
HG00437	CHS	EAS	mother
HG00438	CHS	EAS	child
HG00442	CHS	EAS	father
HG00443	CHS	EAS	mother
HG00444	CHS	EAS	child
HG00445	CHS	EAS	father
HG00446	CHS	EAS	mother
HG00447	CHS	EAS	child
HG00448	CHS	EAS	father
HG00449	CHS	EAS	mother
HG00450	CHS	EAS	child
HG00451	CHS	EAS	father
HG00452	CHS	EAS	mother
HG00453	CHS	EAS	child
HG00457	CHS	EAS	father
HG00458	CHS	EAS	mother
HG00459	CHS	EAS	child
HG00463	CHS	EAS	father
HG00464	CHS	EAS	mother
HG00465	CHS	EAS	child
HG00472	CHS	EAS	father
HG00473	CHS	EAS	mother
HG00474	CHS	EAS	child
HG00475	CHS	EAS	father
HG00476	CHS	EAS	mother
HG00477	CHS	EAS	child
HG00478	CHS	EAS	father
HG00479	CHS	EAS	mother
HG00480	CHS	EAS	child
HG00500	CHS	EAS	father
HG00501	CHS	EAS	mother
HG00502	CHS	EAS	child
HG00512	CHS	EAS	father
HG00513	CHS	EAS	mother
HG00514	CHS	EAS	child
HG00524	CHS	EAS	father
HG00525	CHS	EAS	mother
HG00526	CHS	EAS	child
HG00530	CHS	EAS	father
HG00531	CHS	EAS	mother
HG00532	CHS	EAS	child
HG00533	CHS	EAS	father
HG00534	CHS	EAS	mother
HG00535	CHS	EAS	child
HG00536	CHS	EAS	father
HG00537	CHS	EAS	mother
HG00538	CHS	EAS	child
HG00542	CHS	EAS	father
HG00543	CHS	EAS	mother
HG00544	CHS	EAS	child
HG00551	PUR	AMR	mother
HG00552	PUR	AMR	child
HG00553	PUR	AMR	father
HG00554	PUR	AMR	mother
HG00555	PUR	AMR	child
HG00556	CHS	EAS	father
HG00557	CHS	EAS	mother
HG00558	CHS	EAS	child
HG00559	CHS	EAS	father
HG00560	CHS	EAS	mother
HG00561	CHS	EAS	child
HG00565	CHS	EAS	father
HG00566	CHS	EAS	mother
HG00567	CHS	EAS	child
HG00577	CHS	EAS	father
HG00578	CHS	EAS	mother
HG00579	CHS	EAS	child
HG00580	CHS	EAS	father
HG00581	CHS	EAS	mother
HG00582	CHS	EAS	child
HG00583	CHS	EAS	father
HG00584	CHS	EAS	mother
HG00585	CHS	EAS	child
HG00589	CHS	EAS	father
HG00590	CHS	EAS	mother
HG00591	CHS	EAS	child
HG00592	CHS	EAS	father
HG00593	CHS	EAS	mother
HG00594	CHS	EAS	child
HG00595	CHS	EAS	father
HG00596	CHS	EAS	mother
HG00597	CHS	EAS	child
HG00598	CHS	EAS	father
HG00599	CHS	EAS	mother
HG00600	CHS	EAS	child
HG00607	CHS	EAS	father
HG00608	CHS	EAS	mother
HG00609	CHS	EAS	child
HG00610	CHS	EAS	father
HG00611	CHS	EAS	mother
HG00612	CHS	EAS	child
HG00613	CHS	EAS	father
HG00614	CHS	EAS	mother
HG00615	CHS	EAS	child
HG00619	CHS	EAS	father
HG00620	CHS	EAS	mother
HG00621	CHS	EAS	child
HG00622	CHS	EAS	father
HG00623	CHS	EAS	mother
HG00624	CHS	EAS	child
HG00625	CHS	EAS	father
HG00626	CHS	EAS	mother
HG00627	CHS	EAS	child
HG00628	CHS	EAS	father
HG00629	CHS	EAS	mother
HG00630	CHS	EAS	child
HG00631	CHS	EAS	father
HG00632	CHS	EAS	mother
HG00633	CHS	EAS	child
HG00634	CHS	EAS	father
HG00635	CHS	EAS	mother
HG00636	CHS	EAS	child
HG00637	PUR	AMR	father
HG00638	PUR	AMR	mother
HG00639	PUR	AMR	child
HG00640	PUR	AMR	father
HG00641	PUR	AMR	mother
HG00642	PUR	AMR	child
HG00650	CHS	EAS	father
HG00651	CHS	EAS	mother
HG00652	CHS	EAS	child
HG00653	CHS	EAS	father
HG00654	CHS	EAS	mother
HG00655	CHS	EAS	child
HG00656	CHS	EAS	father
HG00657	CHS	EAS	mother
HG00658	CHS	EAS	child
HG00662	CHS	EAS	father
HG00663	CHS	EAS	mother
HG00664	CHS	EAS	child
HG00671	CHS	EAS	father
HG00672	CHS	EAS	mother
HG00673	CHS	EAS	child
HG00674	CHS	EAS	father
HG00675	CHS	EAS	mother
HG00676	CHS	EAS	child
HG00683	CHS	EAS	father
HG00684	CHS	EAS	mother
HG00685	CHS	EAS	child
HG00689	CHS	EAS	father
HG00690	CHS	EAS	mother
HG00691	CHS	EAS	child
HG00692	CHS	EAS	father
HG00693	CHS	EAS	mother
HG00694	CHS	EAS	child
HG00698	CHS	EAS	father
HG00699	CHS	EAS	mother
HG00700	CHS	EAS	child
HG00701	CHS	EAS	father
HG00702	CHS	EAS	mother
HG00703	CHS	EAS	child
HG00704	CHS	EAS	father
HG00705	CHS	EAS	mother
HG00706	CHS	EAS	child
HG00707	CHS	EAS	father
HG00708	CHS	EAS	mother
HG00709	CHS	EAS	child
HG00716	CHS	EAS	father
HG00717	CHS	EAS	mother
HG00718	CHS	EAS	child
HG00728	CHS	EAS	father
HG00729	CHS	EAS	mother
HG00730	CHS	EAS	child
HG00731	PUR	AMR	father
HG00732	PUR	AMR	mother
HG00733	PUR	AMR	child
HG00734	PUR	AMR	mother
HG00735	PUR	AMR	child
HG00736	PUR	AMR	father
HG00737	PUR	AMR	mother
HG00738	PUR	AMR	child
HG00739	PUR	AMR	father
HG00740	PUR	AMR	mother
HG00741	PUR	AMR	child
HG00742	PUR	AMR	father
HG00743	PUR	AMR	mother
HG00759	CDX	EAS	nan
HG00766	CDX	EAS	nan
HG00844	CDX	EAS	nan
HG00851	CDX	EAS	nan
HG00864	CDX	EAS	nan
HG00866	CDX	EAS	nan
HG00867	CDX	EAS	nan
HG00879	CDX	EAS	nan
HG00881	CDX	EAS	nan
HG00956	CDX	EAS	nan
HG00978	CDX	EAS	nan
HG00982	CDX	EAS	nan
HG00983	CDX	EAS	nan
HG01028	CDX	EAS	nan
HG01029	CDX	EAS	nan
HG01031	CDX	EAS	nan
HG01046	CDX	EAS	nan
HG01047	PUR	AMR	father
HG01048	PUR	AMR	father
HG01049	PUR	AMR	mother
HG01050	PUR	AMR	child
HG01051	PUR	AMR	father
HG01052	PUR	AMR	mother
HG01053	PUR	AMR	child
HG01054	PUR	AMR	father
HG01055	PUR	AMR	mother
HG01056	PUR	AMR	child
HG01058	PUR	AMR	mother
HG01060	PUR	AMR	father
HG01061	PUR	AMR	mother
HG01062	PUR	AMR	child
HG01063	PUR	AMR	father
HG01064	PUR	AMR	mother
HG01066	PUR	AMR	father
HG01067	PUR	AMR	mother
HG01068	PUR	AMR	child
HG01069	PUR	AMR	father
HG01070	PUR	AMR	mother
HG01071	PUR	AMR	child
HG01072	PUR	AMR	father
HG01073	PUR	AMR	mother
HG01074	PUR	AMR	child
HG01075	PUR	AMR	father
HG01077	PUR	AMR	mother
HG01079	PUR	AMR	father
HG01080	PUR	AMR	mother
HG01081	PUR	AMR	child
HG01082	PUR	AMR	father
HG01083	PUR	AMR	mother
HG01084	PUR	AMR	child
HG01085	PUR	AMR	father
HG01086	PUR	AMR	mother
HG01087	PUR	AMR	child
HG01088	PUR	AMR	father
HG01089	PUR	AMR	mother
HG01090	PUR	AMR	child
HG01092	PUR	AMR	mother
HG01094	PUR	AMR	father
HG01095	PUR	AMR	mother
HG01096	PUR	AMR	child
HG01097	PUR	AMR	father
HG01098	PUR	AMR	mother
HG01099	PUR	AMR	child
HG01100	PUR	AMR	child
HG01101	PUR	AMR	father
HG01102	PUR	AMR	mother
HG01103	PUR	AMR	child
HG01104	PUR	AMR	father
HG01105	PUR	AMR	mother
HG01106	PUR	AMR	child
HG01107	PUR	AMR	father
HG01108	PUR	AMR	mother
HG01109	PUR	AMR	child
HG01110	PUR	AMR	father
HG01111	PUR	AMR	mother
HG01112	CLM	AMR	father
HG01113	CLM	AMR	mother
HG01114	CLM	AMR	child
HG01119	CLM	AMR	mother
HG01121	CLM	AMR	father
HG01122	CLM	AMR	mother
HG01123	CLM	AMR	child
HG01124	CLM	AMR	father
HG01125	CLM	AMR	mother
HG01126	CLM	AMR	child
HG01130	CLM	AMR	father
HG01131	CLM	AMR	mother
HG01133	CLM	AMR	father
HG01134	CLM	AMR	mother
HG01135	CLM	AMR	child
HG01136	CLM	AMR	father
HG01137	CLM	AMR	mother
HG01138	CLM	AMR	child
HG01139	CLM	AMR	father
HG01140	CLM	AMR	mother
HG01141	CLM	AMR	child
HG01142	CLM	AMR	father
HG01148	CLM	AMR	father
HG01149	CLM	AMR	mother
HG01150	CLM	AMR	child
HG01161	PUR	AMR	father
HG01162	PUR	AMR	mother
HG01164	PUR	AMR	father
HG01167	PUR	AMR	father
HG01168	PUR	AMR	mother
HG01169	PUR	AMR	child
HG01170	PUR	AMR	father
HG01171	PUR	AMR	mother
HG01172	PUR	AMR	child
HG01173	PUR	AMR	father
HG01174	PUR	AMR	mother
HG01175	PUR	AMR	child
HG01176	PUR	AMR	father
HG01177	PUR	AMR	mother
HG01178	PUR	AMR	child
HG01182	PUR	AMR	father
HG01183	PUR	AMR	mother
HG01184	PUR	AMR	child
HG01187	PUR	AMR	father
HG01188	PUR	AMR	mother
HG01189	PUR	AMR	child
HG01190	PUR	AMR	father
HG01191	PUR	AMR	mother
HG01192	PUR	AMR	child
HG01195	PUR	AMR	mother
HG01197	PUR	AMR	father
HG01198	PUR	AMR	mother
HG01199	PUR	AMR	child
HG01200	PUR	AMR	father
HG01204	PUR	AMR	father
HG01205	PUR	AMR	mother
HG01206	PUR	AMR	child
HG01241	PUR	AMR	father
HG01242	PUR	AMR	mother
HG01243	PUR	AMR	child
HG01247	PUR	AMR	father
HG01248	PUR	AMR	mother
HG01249	PUR	AMR	child
HG01250	CLM	AMR	father
HG01251	CLM	AMR	mother
HG01252	CLM	AMR	child
HG01253	CLM	AMR	father
HG01254	CLM	AMR	mother
HG01255	CLM	AMR	child
HG01256	CLM	AMR	father
HG01257	CLM	AMR	mother
HG01258	CLM	AMR	child
HG01259	CLM	AMR	father
HG01260	CLM	AMR	mother
HG01261	CLM	AMR	child
HG01269	CLM	AMR	mother
HG01271	CLM	AMR	father
HG01272	CLM	AMR	mother
HG01273	CLM	AMR	child
HG01274	CLM	AMR	father
HG01275	CLM	AMR	mother
HG01276	CLM	AMR	child
HG01277	CLM	AMR	father
HG01278	CLM	AMR	mother
HG01279	CLM	AMR	child
HG01280	CLM	AMR	father
HG01281	CLM	AMR	mother
HG01284	CLM	AMR	mother
HG01286	PUR	AMR	father
HG01301	PUR	AMR	child
HG01302	PUR	AMR	father
HG01303	PUR	AMR	mother
HG01305	PUR	AMR	father
HG01308	PUR	AMR	father
HG01311	PUR	AMR	father
HG01312	PUR	AMR	mother
HG01322	PUR	AMR	father
HG01323	PUR	AMR	mother
HG01324	PUR	AMR	child
HG01325	PUR	AMR	father
HG01326	PUR	AMR	mother
HG01327	PUR	AMR	child
HG01334	GBR	EUR	nan
HG01341	CLM	AMR	father
HG01342	CLM	AMR	mother
HG01343	CLM	AMR	child
HG01344	CLM	AMR	father
HG01345	CLM	AMR	mother
HG01346	CLM	AMR	child
HG01347	CLM	AMR	father
HG01348	CLM	AMR	mother
HG01349	CLM	AMR	child
HG01350	CLM	AMR	father
HG01351	CLM	AMR	mother
HG01352	CLM	AMR	child
HG01353	CLM	AMR	father
HG01354	CLM	AMR	mother
HG01355	CLM	AMR	child
HG01356	CLM	AMR	father
HG01357	CLM	AMR	mother
HG01358	CLM	AMR	child
HG01359	CLM	AMR	father
HG01360	CLM	AMR	mother
HG01361	CLM	AMR	child
HG01362	CLM	AMR	father
HG01363	CLM	AMR	mother
HG01364	CLM	AMR	child
HG01365	CLM	AMR	father
HG01366	CLM	AMR	mother
HG01367	CLM	AMR	child
HG01369	CLM	AMR	mother
HG01372	CLM	AMR	mother
HG01374	CLM	AMR	father
HG01375	CLM	AMR	mother
HG01376	CLM	AMR	child
HG01377	CLM	AMR	father
HG01378	CLM	AMR	mother
HG01379	CLM	AMR	child
HG01383	CLM	AMR	father
HG01384	CLM	AMR	mother
HG01385	CLM	AMR	child
HG01389	CLM	AMR	father
HG01390	CLM	AMR	mother
HG01391	CLM	AMR	child
HG01392	PUR	AMR	father
HG01393	PUR	AMR	mother
HG01394	PUR	AMR	child
HG01395	PUR	AMR	father
HG01396	PUR	AMR	mother
HG01397	PUR	AMR	child
HG01398	PUR	AMR	father
HG01402	PUR	AMR	father
HG01403	PUR	AMR	mother
HG01404	PUR	AMR	child
HG01405	PUR	AMR	father
HG01411	PUR	AMR	child
HG01412	PUR	AMR	father
HG01413	PUR	AMR	father
HG01414	PUR	AMR	mother
HG01415	PUR	AMR	child
HG01431	CLM	AMR	father
HG01432	CLM	AMR	mother
HG01433	CLM	AMR	child
HG01435	CLM	AMR	mother
HG01437	CLM	AMR	father
HG01438	CLM	AMR	mother
HG01439	CLM	AMR	child
HG01440	CLM	AMR	father
HG01441	CLM	AMR	mother
HG01442	CLM	AMR	child
HG01443	CLM	AMR	father
HG01444	CLM	AMR	mother
HG01445	CLM	AMR	child
HG01447	CLM	AMR	mother
HG01452	CLM	AMR	father
HG01453	CLM	AMR	mother
HG01454	CLM	AMR	child
HG01455	CLM	AMR	father
HG01456	CLM	AMR	mother
HG01457	CLM	AMR	child
HG01459	CLM	AMR	mother
HG01461	CLM	AMR	father
HG01462	CLM	AMR	mother
HG01463	CLM	AMR	child
HG01464	CLM	AMR	father
HG01465	CLM	AMR	mother
HG01466	CLM	AMR	child
HG01468	CLM	AMR	mother
HG01471	CLM	AMR	nan
HG01473	CLM	AMR	father
HG01474	CLM	AMR	mother
HG01477	CLM	AMR	mother
HG01479	CLM	AMR	father
HG01480	CLM	AMR	mother
HG01481	CLM	AMR	child
HG01482	CLM	AMR	father
HG01483	CLM	AMR	mother
HG01484	CLM	AMR	child
HG01485	CLM	AMR	father
HG01486	CLM	AMR	mother
HG01487	CLM	AMR	child
HG01488	CLM	AMR	father
HG01489	CLM	AMR	mother
HG01490	CLM	AMR	child
HG01491	CLM	AMR	father
HG01492	CLM	AMR	mother
HG01493	CLM	AMR	child
HG01494	CLM	AMR	father
HG01495	CLM	AMR	mother
HG01496	CLM	AMR	child
HG01497	CLM	AMR	father
HG01498	CLM	AMR	mother
HG01499	CLM	AMR	child
HG01500	IBS	EUR	father
HG01501	IBS	EUR	mother
HG01502	IBS	EUR	child
HG01503	IBS	EUR	father
HG01504	IBS	EUR	mother
HG01505	IBS	EUR	child
HG01506	IBS	EUR	father
HG01507	IBS	EUR	mother
HG01508	IBS	EUR	child
HG01509	IBS	EUR	father
HG01510	IBS	EUR	mother
HG01511	IBS	EUR	child
HG01512	IBS	EUR	father
HG01513	IBS	EUR	mother
HG01514	IBS	EUR	child
HG01515	IBS	EUR	father
HG01516	IBS	EUR	mother
HG01517	IBS	EUR	child
HG01518	IBS	EUR	father
HG01519	IBS	EUR	mother
HG01520	IBS	EUR	child
HG01521	IBS	EUR	father
HG01522	IBS	EUR	mother
HG01523	IBS	EUR	child
HG01524	IBS	EUR	father
HG01525	IBS	EUR	mother
HG01526	IBS	EUR	child
HG01527	IBS	EUR	father
HG01528	IBS	EUR	mother
HG01529	IBS	EUR	child
HG01530	IBS	EUR	father
HG01531	IBS	EUR	mother
HG01532	IBS	EUR	child
HG01536	IBS	EUR	father
HG01537	IBS	EUR	mother
HG01538	IBS	EUR	child
HG01550	CLM	AMR	father
HG01551	CLM	AMR	mother
HG01552	CLM	AMR	child
HG01556	CLM	AMR	father
HG01565	PEL	AMR	father
HG01566	PEL	AMR	mother
HG01567	PEL	AMR	child
HG01571	PEL	AMR	father
HG01572	PEL	AMR	mother
HG01573	PEL	AMR	child
HG01577	PEL	AMR	father
HG01578	PEL	AMR	mother
HG01579	PEL	AMR	child
HG01583	PJL	SAS	father
HG01586	PJL	SAS	father
HG01589	PJL	SAS	father
HG01590	PJL	SAS	mother
HG01593	PJL	SAS	mother
HG01594	PJL	SAS	child
HG01595	KHV	EAS	nan
HG01596	KHV	EAS	nan
HG01597	KHV	EAS	nan
HG01598	KHV	EAS	nan
HG01599	KHV	EAS	nan
HG01600	KHV	EAS	nan
HG01601	IBS	EUR	child
HG01602	IBS	EUR	mother
HG01603	IBS	EUR	father
HG01604	IBS	EUR	child
HG01605	IBS	EUR	mother
HG01606	IBS	EUR	father
HG01607	IBS	EUR	mother
HG01608	IBS	EUR	father
HG01609	IBS	EUR	child
HG01610	IBS	EUR	father
HG01611	IBS	EUR	child
HG01612	IBS	EUR	mother
HG01613	IBS	EUR	mother
HG01614	IBS	EUR	child
HG01615	IBS	EUR	father
HG01616	IBS	EUR	child
HG01617	IBS	EUR	father
HG01618	IBS	EUR	mother
HG01619	IBS	EUR	father
HG01620	IBS	EUR	mother
HG01621	IBS	EUR	child
HG01622	IBS	EUR	child
HG01623	IBS	EUR	mother
HG01624	IBS	EUR	father
HG01625	IBS	EUR	father
HG01626	IBS	EUR	mother
HG01627	IBS	EUR	child
HG01628	IBS	EUR	mother
HG01629	IBS	EUR	child
HG01630	IBS	EUR	father
HG01631	IBS	EUR	father
HG01632	IBS	EUR	mother
HG01633	IBS	EUR	child
HG01667	IBS	EUR	child
HG01668	IBS	EUR	mother
HG01669	IBS	EUR	father
HG01670	IBS	EUR	mother
HG01671	IBS	EUR	child
HG01672	IBS	EUR	father
HG01673	IBS	EUR	mother
HG01674	IBS	EUR	child
HG01675	IBS	EUR	father
HG01676	IBS	EUR	mother
HG01677	IBS	EUR	child
HG01678	IBS	EUR	father
HG01679	IBS	EUR	mother
HG01680	IBS	EUR	father
HG01681	IBS	EUR	child
HG01682	IBS	EUR	father
HG01683	IBS	EUR	child
HG01684	IBS	EUR	mother
HG01685	IBS	EUR	mother
HG01686	IBS	EUR	father
HG01687	IBS	EUR	child
HG01694	IBS	EUR	father
HG01695	IBS	EUR	mother
HG01696	IBS	EUR	child
HG01697	IBS	EUR	mother
HG01698	IBS	EUR	child
HG01699	IBS	EUR	father
HG01700	IBS	EUR	father
HG01701	IBS	EUR	child
HG01702	IBS	EUR	mother
HG01703	IBS	EUR	child
HG01704	IBS	EUR	mother
HG01705	IBS	EUR	father
HG01706	IBS	EUR	child
HG01707	IBS	EUR	mother
HG01708	IBS	EUR	father
HG01709	IBS	EUR	father
HG01710	IBS	EUR	mother
HG01711	IBS	EUR	child
HG01746	IBS	EUR	mother
HG01747	IBS	EUR	father
HG01748	IBS	EUR	child
HG01755	IBS	EUR	child
HG01756	IBS	EUR	father
HG01757	IBS	EUR	mother
HG01761	IBS	EUR	father
HG01762	IBS	EUR	mother
HG01763	IBS	EUR	child
HG01764	IBS	EUR	child
HG01765	IBS	EUR	father
HG01766	IBS	EUR	mother
HG01767	IBS	EUR	father
HG01768	IBS	EUR	mother
HG01769	IBS	EUR	child
HG01770	IBS	EUR	mother
HG01771	IBS	EUR	father
HG01772	IBS	EUR	child
HG01773	IBS	EUR	mother
HG01774	IBS	EUR	child
HG01775	IBS	EUR	father
HG01776	IBS	EUR	mother
HG01777	IBS	EUR	father
HG01778	IBS	EUR	child
HG01779	IBS	EUR	mother
HG01780	IBS	EUR	child
HG01781	IBS	EUR	father
HG01782	IBS	EUR	child
HG01783	IBS	EUR	father
HG01784	IBS	EUR	mother
HG01785	IBS	EUR	father
HG01786	IBS	EUR	mother
HG01787	IBS	EUR	child
HG01789	GBR	EUR	nan
HG01790	GBR	EUR	nan
HG01791	GBR	EUR	nan
HG01794	CDX	EAS	nan
HG01795	CDX	EAS	nan
HG01796	CDX	EAS	nan
HG01797	CDX	EAS	nan
HG01798	CDX	EAS	nan
HG01799	CDX	EAS	nan
HG01800	CDX	EAS	nan
HG01801	CDX	EAS	nan
HG01802	CDX	EAS	nan
HG01804	CDX	EAS	nan
HG01805	CDX	EAS	nan
HG01806	CDX	EAS	nan
HG01807	CDX	EAS	nan
HG01808	CDX	EAS	nan
HG01809	CDX	EAS	nan
HG01810	CDX	EAS	nan
HG01811	CDX	EAS	nan
HG01812	CDX	EAS	nan
HG01813	CDX	EAS	nan
HG01815	CDX	EAS	nan
HG01816	CDX	EAS	nan
HG01817	CDX	EAS	nan
HG01840	KHV	EAS	nan
HG01841	KHV	EAS	nan
HG01842	KHV	EAS	nan
HG01843	KHV	EAS	nan
HG01844	KHV	EAS	nan
HG01845	KHV	EAS	nan
HG01846	KHV	EAS	nan
HG01847	KHV	EAS	nan
HG01848	KHV	EAS	nan
HG01849	KHV	EAS	nan
HG01850	KHV	EAS	nan
HG01851	KHV	EAS	nan
HG01852	KHV	EAS	nan
HG01853	KHV	EAS	nan
HG01855	KHV	EAS	nan
HG01857	KHV	EAS	nan
HG01858	KHV	EAS	nan
HG01859	KHV	EAS	nan
HG01860	KHV	EAS	nan
HG01861	KHV	EAS	nan
